}	}
010	I-MISC
Japanese	I-MISC
The	I-ORG
Mad	I-ORG
Capsule	I-ORG
Markets	I-ORG
Osc-Dis	I-MISC
Introduction	I-MISC
010	I-MISC
Come	I-MISC
Kojima	I-PER
Minoru	I-PER
Good	I-MISC
Day	I-MISC
Wardanceis	I-MISC
UK	I-LOC
Killing	I-ORG
Joke	I-ORG
XXX	I-MISC
can	I-MISC
of	I-MISC
This	I-MISC
Cannabis	I-MISC
Cannabis	I-MISC
P.O.P	I-MISC
HUMANITY	I-MISC
UK	I-LOC
OSC-DIS	I-MISC
139th	I-ORG
Camp	I-LOC
Howe	I-LOC
Pittsburgh	I-LOC
Frederick	I-PER
H.	I-PER
Collier	I-PER
Second	I-MISC
Battle	I-MISC
of	I-MISC
Bull	I-MISC
Run	I-MISC
Howe	I-ORG
's	I-ORG
Brigade	I-ORG
Couch	I-ORG
's	I-ORG
Division	I-ORG
IV	I-ORG
Corps	I-ORG
Army	I-ORG
of	I-ORG
the	I-ORG
Potomac	I-ORG
De	I-ORG
Trobriand	I-ORG
's	I-ORG
55th	I-ORG
New	I-ORG
York	I-ORG
Gardes	I-ORG
Lafayette	I-ORG
62d	I-ORG
NY	I-ORG
93d	I-ORG
PVI	I-ORG
98th	I-ORG
PVI	I-ORG
102d	I-ORG
PVI	I-ORG
Couch	I-ORG
's	I-ORG
Division	I-ORG
Army	I-ORG
Potomac	I-LOC
139th	I-ORG
Poolesville	I-LOC
Sandy	I-LOC
Hook	I-LOC
Maryland	I-LOC
Battle	I-MISC
of	I-MISC
Antietam	I-MISC
Confederate	I-ORG
Williamsport	I-LOC
139th	I-ORG
VI	I-ORG
Corps	I-ORG
Battle	I-MISC
of	I-MISC
Fredericksburg	I-MISC
2nd	I-MISC
Battle	I-MISC
of	I-MISC
Fredericksburg	I-MISC
Battle	I-MISC
of	I-MISC
Gettysburg	I-MISC
Union	I-ORG
139th	I-ORG
Grant	I-MISC
's	I-MISC
Overland	I-MISC
Campaign	I-MISC
Siege	I-MISC
of	I-MISC
Petersburg	I-MISC
Washington	I-LOC
,	I-LOC
D.C.	I-LOC
VI	I-ORG
Corps	I-ORG
Lt.	I-PER
Gen.	I-PER
Jubal	I-PER
Early	I-PER
Philip	I-PER
Sheridan	I-PER
Valley	I-LOC
Confederate	I-ORG
Petersburg	I-LOC
139th	I-ORG
Sheridan	I-PER
Appomattox	I-MISC
Campaign	I-MISC
Battle	I-MISC
of	I-MISC
Sayler	I-MISC
's	I-MISC
Creek	I-MISC
Appomattox	I-LOC
Courthouse	I-LOC
North	I-LOC
Carolina	I-LOC
William	I-PER
T.	I-PER
Sherman	I-PER
Confederate	I-ORG
Atlantic	I-LOC
City	I-LOC
Atlantic	I-LOC
City	I-LOC
New	I-LOC
Jersey	I-LOC
Atlantic	I-LOC
City	I-LOC
West	I-LOC
Jersey	I-LOC
Railroad	I-LOC
Red	I-MISC
Men	I-MISC
Bridgeton	I-LOC
Salem	I-LOC
New	I-LOC
Jersey	I-LOC
Reading	I-LOC
Railroad	I-LOC
Philadelphia	I-LOC
Reading	I-LOC
Atlantic	I-LOC
City	I-LOC
West	I-LOC
Jersey	I-LOC
Road	I-LOC
Camden	I-LOC
Atlantic	I-LOC
Reading	I-LOC
Road	I-LOC
John	I-PER
Greiner	I-PER
West	I-LOC
Jersey	I-LOC
Reading	I-LOC
Reading	I-LOC
Philadelphia	I-LOC
West	I-LOC
Jersey	I-LOC
Reading	I-LOC
Reading	I-LOC
Atlantic	I-LOC
City	I-LOC
Atlantic	I-ORG
City	I-ORG
Hospital	I-ORG
Excursion	I-LOC
House	I-LOC
Mississippi	I-LOC
